unit,sizen_r2,indic_is,geo\time	2017 	2014 	2011 	2009 
PC_ENT,10_C10_18,E_RFAC,AT	: 	: 	6 	3 
PC_ENT,10_C10_18,E_RFAC,BE	: 	: 	2 	: u
PC_ENT,10_C10_18,E_RFAC,BG	: 	: 	2 	1 
PC_ENT,10_C10_18,E_RFAC,CY	: 	: 	1 	1 
PC_ENT,10_C10_18,E_RFAC,CZ	: 	: 	1 	2 
PC_ENT,10_C10_18,E_RFAC,DE	: 	: 	5 	4 
PC_ENT,10_C10_18,E_RFAC,DK	: 	: 	1 	1 
PC_ENT,10_C10_18,E_RFAC,EA	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFAC,EE	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFAC,EL	: 	: 	0 n	: u
PC_ENT,10_C10_18,E_RFAC,ES	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFAC,EU15	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFAC,EU25	: 	: 	: 	2 
PC_ENT,10_C10_18,E_RFAC,EU27	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFAC,EU28	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFAC,FI	: 	: 	6 	7 
PC_ENT,10_C10_18,E_RFAC,FR	: 	: 	2 	1 
PC_ENT,10_C10_18,E_RFAC,HR	: 	: 	3 	1 
PC_ENT,10_C10_18,E_RFAC,HU	: 	: 	1 	1 
PC_ENT,10_C10_18,E_RFAC,IE	: 	: 	3 	1 
PC_ENT,10_C10_18,E_RFAC,IT	: 	: 	1 	1 
PC_ENT,10_C10_18,E_RFAC,LT	: 	: 	5 	1 
PC_ENT,10_C10_18,E_RFAC,LU	: 	: 	2 	1 
PC_ENT,10_C10_18,E_RFAC,LV	: 	: 	1 	: c
PC_ENT,10_C10_18,E_RFAC,MK	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFAC,MT	: 	: 	8 	: u
PC_ENT,10_C10_18,E_RFAC,NL	: 	: 	2 	11 
PC_ENT,10_C10_18,E_RFAC,NO	: 	: 	0 n	1 
PC_ENT,10_C10_18,E_RFAC,PL	: 	: 	: u	: u
PC_ENT,10_C10_18,E_RFAC,PT	: 	: 	: u	: u
PC_ENT,10_C10_18,E_RFAC,RO	: 	: 	0 n	0 n
PC_ENT,10_C10_18,E_RFAC,SE	: 	: 	2 	1 
PC_ENT,10_C10_18,E_RFAC,SI	: 	: 	5 	0 n
PC_ENT,10_C10_18,E_RFAC,SK	: 	: 	6 	2 
PC_ENT,10_C10_18,E_RFAC,UK	: 	: 	1 	1 
PC_ENT,10_C10_18,E_RFAC1,AT	15 	17 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,BE	23 	19 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,BG	7 	10 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,CY	4 	4 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,CZ	5 	6 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,DE	19 	16 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,DK	9 	7 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EA	12 	10 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EE	8 	7 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EL	5 	: u	: 	: 
PC_ENT,10_C10_18,E_RFAC1,ES	13 	9 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EU15	12 	9 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EU27	10 	8 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,EU28	10 	8 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,FI	20 	21 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,FR	8 	5 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,HR	11 	9 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,HU	5 	3 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,IE	12 	4 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,IS	: u	2 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,IT	8 	7 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,LT	10 	6 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,LU	25 	19 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,LV	5 	5 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,MK	: 	12 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,MT	12 	6 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,NL	23 	13 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,NO	8 	6 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,PL	5 	4 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,PT	7 	8 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,RO	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,RS	: 	7 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,SE	8 	6 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,SI	15 	11 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,SK	12 	10 	: 	: 
PC_ENT,10_C10_18,E_RFAC1,UK	9 	4 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI,AT	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFASPRI,BE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,BG	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,CY	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,CZ	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,DE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,DK	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,EA	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,EE	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,EL	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,ES	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFASPRI,EU15	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,EU27	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,EU28	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,FI	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,FR	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,HR	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,HU	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,IE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,IT	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,LT	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFASPRI,LU	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,LV	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,MK	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFASPRI,MT	: 	: 	3 	: 
PC_ENT,10_C10_18,E_RFASPRI,NL	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,NO	: 	: 	0 	: 
PC_ENT,10_C10_18,E_RFASPRI,PL	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFASPRI,PT	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,RO	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,SE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI,SI	: 	: 	: c	: 
PC_ENT,10_C10_18,E_RFASPRI,SK	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFASPRI,UK	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFASPRI1,AT	: u	: u	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,BE	4 	4 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,BG	6 	4 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,CY	1 	0 n	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,CZ	0 n	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,DE	3 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,DK	1 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EA	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EE	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EL	3 	: u	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,ES	5 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EU15	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EU27	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,EU28	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,FI	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,FR	3 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,HR	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,HU	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,IE	2 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,IS	: u	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,IT	3 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,LT	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,LU	7 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,LV	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,MK	: 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,MT	3 	0 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,NL	2 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,NO	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,PL	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,PT	3 	4 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,RO	0 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,RS	: 	5 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,SE	1 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,SI	2 	4 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,SK	1 	1 	: 	: 
PC_ENT,10_C10_18,E_RFASPRI1,UK	1 	1 	: 	: 
PC_ENT,10_C10_18,E_RFID,AT	: 	: 	7 	3 
PC_ENT,10_C10_18,E_RFID,BE	: 	: 	4 	: u
PC_ENT,10_C10_18,E_RFID,BG	: 	: 	2 	1 
PC_ENT,10_C10_18,E_RFID,CY	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFID,CZ	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFID,DE	: 	: 	6 	6 
PC_ENT,10_C10_18,E_RFID,DK	: 	: 	3 	1 
PC_ENT,10_C10_18,E_RFID,EA	: 	: 	4 	4 
PC_ENT,10_C10_18,E_RFID,EE	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFID,EL	: 	: 	0 n	: u
PC_ENT,10_C10_18,E_RFID,ES	: 	: 	6 	5 
PC_ENT,10_C10_18,E_RFID,EU15	: 	: 	4 	4 
PC_ENT,10_C10_18,E_RFID,EU25	: 	: 	: 	3 
PC_ENT,10_C10_18,E_RFID,EU27	: 	: 	3 	3 
PC_ENT,10_C10_18,E_RFID,EU28	: 	: 	3 	3 
PC_ENT,10_C10_18,E_RFID,FI	: 	: 	6 	10 
PC_ENT,10_C10_18,E_RFID,FR	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFID,HR	: 	: 	4 	4 
PC_ENT,10_C10_18,E_RFID,HU	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFID,IE	: 	: 	7 	2 
PC_ENT,10_C10_18,E_RFID,IT	: 	: 	3 	3 
PC_ENT,10_C10_18,E_RFID,LT	: 	: 	6 	2 
PC_ENT,10_C10_18,E_RFID,LU	: 	: 	5 	1 
PC_ENT,10_C10_18,E_RFID,LV	: 	: 	2 	: u
PC_ENT,10_C10_18,E_RFID,MK	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFID,MT	: 	: 	8 	: u
PC_ENT,10_C10_18,E_RFID,NL	: 	: 	3 	13 
PC_ENT,10_C10_18,E_RFID,NO	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFID,PL	: 	: 	: u	: u
PC_ENT,10_C10_18,E_RFID,PT	: 	: 	: u	: u
PC_ENT,10_C10_18,E_RFID,RO	: 	: 	1 	0 n
PC_ENT,10_C10_18,E_RFID,SE	: 	: 	3 	2 
PC_ENT,10_C10_18,E_RFID,SI	: 	: 	6 	2 
PC_ENT,10_C10_18,E_RFID,SK	: 	: 	8 	3 
PC_ENT,10_C10_18,E_RFID,UK	: 	: 	2 	2 
PC_ENT,10_C10_18,E_RFID1,AT	17 	18 	: 	: 
PC_ENT,10_C10_18,E_RFID1,BE	26 	20 	: 	: 
PC_ENT,10_C10_18,E_RFID1,BG	14 	15 	: 	: 
PC_ENT,10_C10_18,E_RFID1,CY	6 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,CZ	5 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,DE	22 	17 	: 	: 
PC_ENT,10_C10_18,E_RFID1,DK	12 	9 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EA	15 	13 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EE	11 	9 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EL	8 	: u	: 	: 
PC_ENT,10_C10_18,E_RFID1,ES	18 	13 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EU15	15 	12 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EU27	13 	11 	: 	: 
PC_ENT,10_C10_18,E_RFID1,EU28	13 	11 	: 	: 
PC_ENT,10_C10_18,E_RFID1,FI	23 	23 	: 	: 
PC_ENT,10_C10_18,E_RFID1,FR	11 	8 	: 	: 
PC_ENT,10_C10_18,E_RFID1,HR	13 	11 	: 	: 
PC_ENT,10_C10_18,E_RFID1,HU	7 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,IE	16 	10 	: 	: 
PC_ENT,10_C10_18,E_RFID1,IS	: u	7 	: 	: 
PC_ENT,10_C10_18,E_RFID1,IT	12 	12 	: 	: 
PC_ENT,10_C10_18,E_RFID1,LT	13 	9 	: 	: 
PC_ENT,10_C10_18,E_RFID1,LU	31 	22 	: 	: 
PC_ENT,10_C10_18,E_RFID1,LV	8 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,MK	: 	16 	: 	: 
PC_ENT,10_C10_18,E_RFID1,MT	12 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,NL	25 	14 	: 	: 
PC_ENT,10_C10_18,E_RFID1,NO	11 	8 	: 	: 
PC_ENT,10_C10_18,E_RFID1,PL	8 	5 	: 	: 
PC_ENT,10_C10_18,E_RFID1,PT	9 	13 	: 	: 
PC_ENT,10_C10_18,E_RFID1,RO	5 	6 	: 	: 
PC_ENT,10_C10_18,E_RFID1,RS	: 	15 	: 	: 
PC_ENT,10_C10_18,E_RFID1,SE	10 	7 	: 	: 
PC_ENT,10_C10_18,E_RFID1,SI	19 	17 	: 	: 
PC_ENT,10_C10_18,E_RFID1,SK	12 	10 	: 	: 
PC_ENT,10_C10_18,E_RFID1,UK	10 	5 	: 	: 
PC_ENT,10_C10_18,E_RFMC,AT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,BE	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,BG	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFMC,CY	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,CZ	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,DE	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,DK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,EA	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,EE	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFMC,EL	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,ES	: 	: 	: 	3 
PC_ENT,10_C10_18,E_RFMC,EU15	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,EU25	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,EU27	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,EU28	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,FI	: 	: 	: 	3 
PC_ENT,10_C10_18,E_RFMC,FR	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,HR	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,HU	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFMC,IE	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,IT	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,LT	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,LU	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,LV	: 	: 	: 	: c
PC_ENT,10_C10_18,E_RFMC,MT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,NL	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,NO	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,PL	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,PT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFMC,RO	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFMC,SE	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,SI	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFMC,SK	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFMC,UK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,AT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFPRI,BE	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFPRI,BG	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,CY	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,CZ	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,DE	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,DK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EA	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EE	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,EL	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFPRI,ES	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU15	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU25	: 	: 	: 	1 
